Timestamp,Raw,Voltage
2025-09-22 00:37:55.579243,351,0.28
2025-09-22 00:37:55.680194,4095,3.3
2025-09-22 00:37:55.780348,4095,3.3
2025-09-22 00:37:55.880269,2423,1.95
2025-09-22 00:37:55.980350,1423,1.15
2025-09-22 00:37:56.079343,192,0.15
2025-09-22 00:37:56.178211,78,0.06
2025-09-22 00:37:56.279138,312,0.25
2025-09-22 00:37:56.379244,294,0.24
2025-09-22 00:37:56.479163,108,0.09
2025-09-22 00:37:56.579167,893,0.72
2025-09-22 00:37:56.679182,112,0.09
2025-09-22 00:37:56.779086,263,0.21
2025-09-22 00:37:56.879154,293,0.24
2025-09-22 00:37:56.979234,166,0.13
2025-09-22 00:37:57.079115,258,0.21
2025-09-22 00:37:57.179106,502,0.4
2025-09-22 00:37:57.281355,431,0.35
2025-09-22 00:37:57.379216,198,0.16
2025-09-22 00:37:57.479093,239,0.19
2025-09-22 00:37:57.579109,293,0.24
2025-09-22 00:37:57.679163,223,0.18
2025-09-22 00:37:57.779225,473,0.38
2025-09-22 00:37:57.879111,157,0.13
2025-09-22 00:37:57.979092,234,0.19
2025-09-22 00:37:58.079113,715,0.58
2025-09-22 00:37:58.179149,121,0.1
2025-09-22 00:37:58.279101,251,0.2
2025-09-22 00:37:58.379229,367,0.3
2025-09-22 00:37:58.479207,378,0.3
2025-09-22 00:37:58.579089,167,0.13
2025-09-22 00:37:58.679161,402,0.32
2025-09-22 00:37:58.779227,208,0.17
2025-09-22 00:37:58.879102,123,0.1
2025-09-22 00:37:58.979250,336,0.27
2025-09-22 00:37:59.079144,675,0.54
2025-09-22 00:37:59.177015,9,0.01
2025-09-22 00:37:59.279221,373,0.3
2025-09-22 00:37:59.379215,261,0.21
2025-09-22 00:37:59.479105,661,0.53
2025-09-22 00:37:59.580321,1784,1.44
2025-09-22 00:37:59.680214,3406,2.74
2025-09-22 00:37:59.779155,456,0.37
2025-09-22 00:37:59.879093,315,0.25
2025-09-22 00:37:59.979216,825,0.66
2025-09-22 00:38:00.079133,903,0.73
2025-09-22 00:38:00.179096,721,0.58
2025-09-22 00:38:00.279267,533,0.43
2025-09-22 00:38:00.380328,2946,2.37
2025-09-22 00:38:00.480443,3777,3.04
2025-09-22 00:38:00.580188,1041,0.84
2025-09-22 00:38:00.679085,390,0.31
2025-09-22 00:38:00.780182,1584,1.28
2025-09-22 00:38:00.879232,295,0.24
2025-09-22 00:38:00.979262,583,0.47
2025-09-22 00:38:01.079231,618,0.5
2025-09-22 00:38:01.179153,387,0.31
2025-09-22 00:38:01.279084,467,0.38
2025-09-22 00:38:01.379081,635,0.51
2025-09-22 00:38:01.479087,373,0.3
2025-09-22 00:38:01.579206,473,0.38
2025-09-22 00:38:01.679232,382,0.31
2025-09-22 00:38:01.781763,206,0.17
2025-09-22 00:38:01.879140,576,0.46
2025-09-22 00:38:01.979132,401,0.32
2025-09-22 00:38:02.079250,246,0.2
